key,length[m],transformation,mean_error,std_error
valid,24.0,log-normal,13.388640699399001,0
valid,36.0,log-normal,13.230923161823927,0
valid,44.0,log-normal,13.279754417492153,0
valid,160.0,log-normal,14.204219368598825,0
valid,44.0,log-normal,13.237350561047935,0
valid,48.0,log-normal,13.388925376733233,0
valid,200.0,log-normal,14.017411866490487,0
valid,12.0,log-normal,13.981497438602684,0
valid,80.0,log-normal,14.473804966499248,0
valid,6.0,log-normal,16.674952826108456,0
valid,160.0,log-normal,14.531284095848607,0
valid,20.0,log-normal,13.292812731423563,0
valid,16.0,log-normal,14.014804386917822,0
valid,16.0,log-normal,13.266154810053614,0
valid,200.0,log-normal,14.111543662591286,0
valid,200.0,log-normal,14.672663401460595,0
valid,44.0,log-normal,13.15587690700709,0
valid,10.0,log-normal,14.455048161977606,0
valid,40.0,log-normal,13.039135360106307,0
valid,8.0,log-normal,14.935437663909925,0
valid,112.0,log-normal,13.911934151085637,0
valid,36.0,log-normal,13.246557478729464,0
valid,96.0,log-normal,14.464731402459682,0
valid,16.0,log-normal,13.232624023620911,0
valid,96.0,log-normal,14.16299449582226,0
valid,44.0,log-normal,13.598275084781283,0
valid,200.0,log-normal,14.459757689083975,0
valid,20.0,log-normal,13.177749636018719,0
valid,32.0,log-normal,13.169465805986391,0
valid,20.0,log-normal,13.295760747443978,0
valid,32.0,log-normal,13.063502974163834,0
valid,28.0,log-normal,13.349677636391911,0
valid,28.0,log-normal,13.160390477412893,0
valid,48.0,log-normal,13.370425198903652,0
valid,28.0,log-normal,13.274619273127845,0
valid,16.0,log-normal,13.65746578262069,0
valid,24.0,log-normal,13.215855788645257,0
valid,160.0,log-normal,14.467884108310752,0
valid,200.0,log-normal,14.073103819034833,0
valid,12.0,log-normal,13.821455927594506,0
valid,28.0,log-normal,12.85249935924524,0
valid,64.0,log-normal,13.523220351889753,0
valid,96.0,log-normal,14.001175313635414,0
valid,80.0,log-normal,14.068962678095875,0
valid,28.0,log-normal,12.945325807614358,0
valid,8.0,log-normal,15.031652769992716,0
valid,128.0,log-normal,14.144711739026318,0
valid,48.0,log-normal,13.778867373763681,0
valid,96.0,log-normal,14.730824128450243,0
valid,6.0,log-normal,16.768648619490747,0
valid,8.0,log-normal,16.039166963372605,0
valid,40.0,log-normal,13.147840655088427,0
valid,8.0,log-normal,15.193511886864222,0
valid,64.0,log-normal,13.514618358406448,0
valid,10.0,log-normal,14.235462264531936,0
valid,64.0,log-normal,13.400379890733957,0
valid,40.0,log-normal,13.280428549577985,0
valid,8.0,log-normal,15.398847107072132,0
valid,40.0,log-normal,13.137813222147793,0
valid,80.0,log-normal,13.993151758899971,0
valid,10.0,log-normal,13.996740179903721,0
valid,96.0,log-normal,14.083451350244966,0
valid,160.0,log-normal,14.585688253354489,0
valid,80.0,log-normal,14.41432514418845,0
valid,128.0,log-normal,14.590569140700328,0
valid,24.0,log-normal,13.178575440536987,0
valid,0.0,log-normal,14.626484206318967,0
valid,28.0,log-normal,12.981191625656168,0
valid,0.0,log-normal,14.282789049629022,0
valid,6.0,log-normal,16.226626311197705,0
valid,8.0,log-normal,15.448523546120942,0
valid,12.0,log-normal,13.706036898667222,0
valid,0.0,log-normal,14.661039193913219,0
valid,32.0,log-normal,13.233404925628948,0
valid,20.0,log-normal,13.340998148631002,0
valid,48.0,log-normal,13.501603736306077,0
valid,10.0,log-normal,14.337780519046195,0
valid,64.0,log-normal,13.671909489770218,0
valid,12.0,log-normal,13.87398114764575,0
valid,128.0,log-normal,13.845092422925712,0
valid,160.0,log-normal,14.320932706238125,0
valid,0.0,log-normal,14.380679535674489,0
valid,128.0,log-normal,14.098899323468581,0
valid,24.0,log-normal,13.010875214552742,0
valid,48.0,log-normal,13.594149022446745,0
valid,12.0,log-normal,14.217658458050678,0
valid,64.0,log-normal,13.592046950831925,0
valid,0.0,log-normal,14.581914485154632,0
valid,20.0,log-normal,13.06515152944373,0
valid,32.0,log-normal,13.26022017466232,0
valid,112.0,log-normal,13.765656974952671,0
valid,44.0,log-normal,13.709433691480111,0
valid,40.0,log-normal,13.222198644159443,0
valid,112.0,log-normal,13.863276394714479,0
valid,80.0,log-normal,15.193931865131322,0
valid,10.0,log-normal,14.257673681226787,0
valid,32.0,log-normal,12.747271551652512,0
valid,16.0,log-normal,13.704538623271686,0
valid,80.0,log-normal,13.761271817003948,0
valid,16.0,log-normal,13.346895073942733,0
valid,112.0,log-normal,13.877833297706905,0
valid,112.0,log-normal,14.004145886073331,0
valid,36.0,log-normal,13.550577293799085,0
valid,160.0,log-normal,14.412348108336468,0
valid,32.0,log-normal,12.986595611124692,0
valid,44.0,log-normal,13.256961323311245,0
valid,36.0,log-normal,13.558111772063427,0
valid,36.0,log-normal,13.563634565286296,0
valid,24.0,log-normal,13.018128447420485,0
valid,10.0,log-normal,13.933985293953166,0
valid,48.0,log-normal,13.524321137761676,0
valid,6.0,log-normal,15.890629486242675,0
valid,40.0,log-normal,13.230204710219429,0
valid,128.0,log-normal,14.169396419093498,0
valid,0.0,log-normal,14.534793962179894,0
valid,200.0,log-normal,14.749522824823377,0
valid,6.0,log-normal,16.925718478272373,0
valid,6.0,log-normal,15.845158432849956,0
valid,112.0,log-normal,14.192618046619993,0
valid,12.0,log-normal,13.788276633290403,0
valid,64.0,log-normal,13.684241072910838,0
valid,24.0,log-normal,13.310742066331613,0
valid,36.0,log-normal,13.295754257621944,0
valid,20.0,log-normal,13.007808060591806,0
valid,96.0,log-normal,13.71491123199624,0
valid,128.0,log-normal,14.534277898429652,0
