key,length[m],transformation,mean_error,std_error
valid,250.0,log-normal,1.8739177709903063,0
valid,36.0,log-normal,1.459614854356766,0
valid,44.0,log-normal,1.3991614122221776,0
valid,160.0,log-normal,1.3296343742839374,0
valid,300.0,log-normal,1.444450268964505,0
valid,44.0,log-normal,1.390035455894018,0
valid,48.0,log-normal,1.4221162529610278,0
valid,300.0,log-normal,2.1021067165468788,0
valid,200.0,log-normal,1.3456082085168288,0
valid,80.0,log-normal,1.29168758029405,0
valid,250.0,log-normal,1.314426788394334,0
valid,160.0,log-normal,1.3952417038916587,0
valid,200.0,log-normal,1.400036941245689,0
valid,200.0,log-normal,1.2626431233182676,0
valid,44.0,log-normal,1.466253319810396,0
valid,40.0,log-normal,1.432772338944485,0
valid,112.0,log-normal,1.2880195648220791,0
valid,36.0,log-normal,1.4757634078209874,0
valid,96.0,log-normal,1.2404593739570753,0
valid,96.0,log-normal,1.8872904510115776,0
valid,44.0,log-normal,1.4812533313532759,0
valid,200.0,log-normal,1.486649334805714,0
valid,48.0,log-normal,1.5483554302494311,0
valid,160.0,log-normal,1.2310791899798585,0
valid,200.0,log-normal,1.3331878259829948,0
valid,64.0,log-normal,1.426836485171675,0
valid,300.0,log-normal,1.4084425043023738,0
valid,96.0,log-normal,1.2891489932520837,0
valid,300.0,log-normal,1.7203493559607417,0
valid,80.0,log-normal,1.506001445982753,0
valid,128.0,log-normal,1.3885957294422433,0
valid,48.0,log-normal,1.426652706960243,0
valid,96.0,log-normal,1.4075300363064442,0
valid,250.0,log-normal,1.3458018881055265,0
valid,40.0,log-normal,1.4404757246264914,0
valid,64.0,log-normal,1.3114601133069075,0
valid,250.0,log-normal,1.4249584559114477,0
valid,64.0,log-normal,1.2212463556208397,0
valid,40.0,log-normal,1.4353269250827299,0
valid,250.0,log-normal,1.3798257867322565,0
valid,40.0,log-normal,1.4935814929128295,0
valid,80.0,log-normal,1.3342776625539094,0
valid,96.0,log-normal,1.301194600314301,0
valid,160.0,log-normal,1.4375209929269623,0
valid,80.0,log-normal,1.217062211407199,0
valid,128.0,log-normal,1.3139656374662265,0
valid,0.0,log-normal,2.7444369150123418,0
valid,0.0,log-normal,2.635442957125797,0
valid,0.0,log-normal,2.5591793202829085,0
valid,48.0,log-normal,1.5220856846276396,0
valid,300.0,log-normal,1.6606327572759154,0
valid,64.0,log-normal,1.440186367334159,0
valid,128.0,log-normal,1.2645676317860506,0
valid,250.0,log-normal,1.37226389128027,0
valid,160.0,log-normal,1.4829790237491762,0
valid,0.0,log-normal,2.647985766191967,0
valid,128.0,log-normal,1.355703875613406,0
valid,48.0,log-normal,1.3977533616870597,0
valid,64.0,log-normal,1.333322757050055,0
valid,0.0,log-normal,2.584953628587896,0
valid,112.0,log-normal,1.4064879339521545,0
valid,300.0,log-normal,1.4315512766705165,0
valid,44.0,log-normal,1.4927052605015916,0
valid,40.0,log-normal,1.4142714195542634,0
valid,112.0,log-normal,1.2728805889882269,0
valid,80.0,log-normal,1.4379279621259422,0
valid,80.0,log-normal,1.3609001012065842,0
valid,112.0,log-normal,1.8092828654928987,0
valid,112.0,log-normal,1.4152193470528447,0
valid,36.0,log-normal,1.3922167891657848,0
valid,160.0,log-normal,1.2797384786056725,0
valid,44.0,log-normal,1.4492041551512254,0
valid,36.0,log-normal,1.391899364264388,0
valid,36.0,log-normal,1.459014731981589,0
valid,48.0,log-normal,1.4029346097882325,0
valid,40.0,log-normal,1.4676693602389783,0
valid,128.0,log-normal,2.8159766989211366,0
valid,0.0,log-normal,2.586845005325291,0
valid,200.0,log-normal,1.2354145302744726,0
valid,112.0,log-normal,1.251150183808322,0
valid,64.0,log-normal,1.3150154751834866,0
valid,36.0,log-normal,1.4515274007692183,0
valid,96.0,log-normal,1.3845558323835905,0
valid,128.0,log-normal,1.3346250902694152,0
