key,length[m],transformation,mean_error,std_error
valid,24.0,log-normal,1.9444674753466071,0
valid,36.0,log-normal,1.9330294155980363,0
valid,4.0,log-normal,1.8393697416254977,0
valid,44.0,log-normal,2.050141936573626,0
valid,44.0,log-normal,1.9061051027846767,0
valid,48.0,log-normal,2.1212114934350974,0
valid,5.0,log-normal,1.8548769818093809,0
valid,4.0,log-normal,1.9179333436325778,0
valid,200.0,log-normal,3.449020969949533,0
valid,12.0,log-normal,1.7962084040494448,0
valid,80.0,log-normal,2.330678690958791,0
valid,16.0,log-normal,1.897462336660856,0
valid,80.0,log-normal,2.2649025411792443,0
valid,3.0,log-normal,1.8338321441023215,0
valid,200.0,log-normal,3.443904590114234,0
valid,6.0,log-normal,1.771130754143902,0
valid,20.0,log-normal,1.798445583459497,0
valid,48.0,log-normal,2.0500642807976557,0
valid,16.0,log-normal,1.7821513999629175,0
valid,16.0,log-normal,1.860956346980162,0
valid,200.0,log-normal,3.929777476935686,0
valid,44.0,log-normal,1.9327409286625095,0
valid,200.0,log-normal,3.5010390722350704,0
valid,2.0,log-normal,3.363209189256037,0
valid,3.0,log-normal,1.8673020537265614,0
valid,64.0,log-normal,2.0835982230250214,0
valid,44.0,log-normal,2.01824681057969,0
valid,10.0,log-normal,1.9427987481497249,0
valid,24.0,log-normal,2.045349605913879,0
valid,40.0,log-normal,2.007424804307965,0
valid,8.0,log-normal,1.7255534417980172,0
valid,12.0,log-normal,2.16524934641937,0
valid,36.0,log-normal,1.8348799898148385,0
valid,12.0,log-normal,1.9233980275200484,0
valid,96.0,log-normal,3.0818293457115407,0
valid,20.0,log-normal,1.8056165766632837,0
valid,16.0,log-normal,2.0563573564215787,0
valid,96.0,log-normal,2.9941235546247413,0
valid,96.0,log-normal,2.687776113894503,0
valid,44.0,log-normal,2.2754216393546063,0
valid,200.0,log-normal,3.870176431713777,0
valid,20.0,log-normal,1.8278712597678672,0
valid,32.0,log-normal,2.002811299486966,0
valid,20.0,log-normal,1.8164569493125988,0
valid,5.0,log-normal,2.027426374946223,0
valid,5.0,log-normal,1.76363832637022,0
valid,32.0,log-normal,1.7099575425403406,0
valid,28.0,log-normal,1.748209993582947,0
valid,28.0,log-normal,2.3929269321112807,0
valid,2.0,log-normal,4.02203320138111,0
valid,48.0,log-normal,2.2979290912371737,0
valid,4.0,log-normal,1.8909735243720311,0
valid,28.0,log-normal,1.9216320850189095,0
valid,16.0,log-normal,1.9739115742751432,0
valid,24.0,log-normal,1.9016431695545988,0
valid,20.0,log-normal,1.8670243558250463,0
valid,32.0,log-normal,1.8044271734123296,0
valid,200.0,log-normal,3.618242782087073,0
valid,12.0,log-normal,1.783797423523622,0
valid,28.0,log-normal,1.8501420689639076,0
valid,64.0,log-normal,2.1983363882573617,0
valid,96.0,log-normal,2.9561054312034116,0
valid,4.0,log-normal,1.8984653768356958,0
valid,80.0,log-normal,2.6159426636760204,0
valid,28.0,log-normal,1.7736433865836374,0
valid,8.0,log-normal,1.7112165096940535,0
valid,128.0,log-normal,5.398231004139692,0
valid,48.0,log-normal,2.0384252001673135,0
valid,96.0,log-normal,2.6743959949597937,0
valid,24.0,log-normal,1.9964385774483815,0
valid,6.0,log-normal,1.8804766143477598,0
valid,40.0,log-normal,1.9015471948431317,0
valid,8.0,log-normal,1.8440313448302639,0
valid,40.0,log-normal,1.9649483599708106,0
valid,8.0,log-normal,1.8392144521788,0
valid,64.0,log-normal,2.071824595789628,0
valid,10.0,log-normal,1.8029352169717405,0
valid,64.0,log-normal,2.2332897092502964,0
valid,40.0,log-normal,1.8819857612359974,0
valid,8.0,log-normal,1.7801619737095713,0
valid,40.0,log-normal,2.103669908472619,0
valid,80.0,log-normal,2.3259205040539452,0
valid,10.0,log-normal,1.8054457760603688,0
valid,48.0,log-normal,2.1399291309268533,0
valid,10.0,log-normal,1.7835970181430298,0
valid,2.0,log-normal,3.2498157982226865,0
valid,96.0,log-normal,2.7500398531079724,0
valid,6.0,log-normal,1.951048764977326,0
valid,80.0,log-normal,2.232119822953474,0
valid,128.0,log-normal,5.119845230938295,0
valid,24.0,log-normal,1.8684529742491516,0
valid,5.0,log-normal,1.798765217322045,0
valid,0.0,log-normal,3.979833714575068,0
valid,28.0,log-normal,1.9260846718422449,0
valid,0.0,log-normal,3.798058279007601,0
valid,6.0,log-normal,1.89321559772275,0
valid,5.0,log-normal,1.8498496422473625,0
valid,128.0,log-normal,5.222834928176785,0
valid,8.0,log-normal,1.8695081038761252,0
valid,12.0,log-normal,1.762485518649561,0
valid,0.0,log-normal,3.731279999670223,0
valid,32.0,log-normal,1.8829935652106782,0
valid,20.0,log-normal,2.0489984568618667,0
valid,36.0,log-normal,2.096240057826255,0
valid,2.0,log-normal,3.3092969938175028,0
valid,48.0,log-normal,1.9380153957951247,0
valid,10.0,log-normal,1.836450799003243,0
valid,2.0,log-normal,3.39739290668342,0
valid,64.0,log-normal,2.1661338385671383,0
valid,3.0,log-normal,1.901826438506068,0
valid,12.0,log-normal,1.7593616668223653,0
valid,36.0,log-normal,1.907106226303976,0
valid,128.0,log-normal,5.114863957223281,0
valid,2.0,log-normal,3.564308010511159,0
valid,16.0,log-normal,2.182296778194063,0
valid,3.0,log-normal,1.9206252797627994,0
valid,0.0,log-normal,3.8417956911188353,0
valid,4.0,log-normal,1.8543498521555444,0
valid,6.0,log-normal,1.8743024663595906,0
valid,128.0,log-normal,5.019495213334338,0
valid,24.0,log-normal,2.2510536199835047,0
valid,3.0,log-normal,1.7642557202178608,0
valid,48.0,log-normal,2.1531969380735085,0
valid,12.0,log-normal,1.811932754611345,0
valid,64.0,log-normal,2.388906005796413,0
valid,0.0,log-normal,3.782466791177682,0
valid,128.0,log-normal,5.3970602733194895,0
valid,20.0,log-normal,1.8017762195669913,0
valid,32.0,log-normal,1.7320359055617844,0
valid,44.0,log-normal,2.2234962949520782,0
valid,4.0,log-normal,1.8493093902022737,0
valid,40.0,log-normal,2.049438305086748,0
valid,80.0,log-normal,2.3625419785493436,0
valid,10.0,log-normal,1.7946231217164381,0
valid,32.0,log-normal,1.900663089892441,0
valid,16.0,log-normal,1.894721681885973,0
valid,4.0,log-normal,1.7907202660731825,0
valid,80.0,log-normal,2.383576624355001,0
valid,16.0,log-normal,2.148385150439065,0
valid,3.0,log-normal,1.8853382450973841,0
valid,2.0,log-normal,3.414413094476713,0
valid,8.0,log-normal,1.7881115545891781,0
valid,0.0,log-normal,3.814329945986518,0
valid,0.0,log-normal,3.702039844123265,0
valid,32.0,log-normal,1.7436122507993197,0
valid,44.0,log-normal,2.0019599238579153,0
valid,80.0,log-normal,2.3315631237856094,0
valid,36.0,log-normal,1.950992776596825,0
valid,32.0,log-normal,1.8671600952556666,0
valid,44.0,log-normal,2.235940491180559,0
valid,5.0,log-normal,1.8501306489280305,0
valid,36.0,log-normal,1.806711356153572,0
valid,36.0,log-normal,2.1536771338051888,0
valid,200.0,log-normal,3.66153970093506,0
valid,24.0,log-normal,1.9735474500447807,0
valid,10.0,log-normal,1.8128271868332415,0
valid,40.0,log-normal,1.9700093472638178,0
valid,96.0,log-normal,2.8456824873473843,0
valid,48.0,log-normal,1.9065054019377854,0
valid,28.0,log-normal,1.7542830269569203,0
valid,64.0,log-normal,2.694099400688425,0
valid,6.0,log-normal,1.8194777928437675,0
valid,40.0,log-normal,1.878095664250125,0
valid,3.0,log-normal,1.9533936481441188,0
valid,4.0,log-normal,1.8786657717502413,0
valid,128.0,log-normal,5.212688611195152,0
valid,0.0,log-normal,3.8699660563288107,0
valid,8.0,log-normal,1.7393493589921745,0
valid,200.0,log-normal,3.4566453185217014,0
valid,28.0,log-normal,1.7209766962928843,0
valid,6.0,log-normal,2.1417428978110666,0
valid,6.0,log-normal,1.848883593326879,0
valid,10.0,log-normal,1.7562619896915586,0
valid,5.0,log-normal,1.775810569334367,0
valid,2.0,log-normal,3.439988359982196,0
valid,12.0,log-normal,1.8785610935089223,0
valid,3.0,log-normal,1.9943161386968729,0
valid,64.0,log-normal,2.5447178363169445,0
valid,24.0,log-normal,1.829006405094769,0
valid,36.0,log-normal,1.9885292467285896,0
valid,20.0,log-normal,1.9661142319232583,0
valid,96.0,log-normal,2.6372034183716324,0
valid,128.0,log-normal,5.095912265736594,0
valid,5.0,log-normal,1.8556193323726842,0
